Полное наименование,ОКПО,ИНН,ОГРН
Общество с ограниченной ответственностью ИНСТРОЙ С,51202679,7705309143,1037739754931
Общество с ограниченной ответственностью ПРОФЛАЙН С,51205353,7716187803,1027739591395
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ООО ВЭЛКОМ-С,51247937,7705313397,1027700423959
Общество с ограниченной ответственностью АРКОС С,51270600,,
Общество с ограниченной ответственностью САЛЬМИР-С,51380777,6450038100,1126450011820
Общество с ограниченной ответственностью ДИАЛОГ - С,51533181,1101027307,1021100519747
Общество с ограниченной ответственностью ФИРМА С И Т,51711338,3666079344,1033600048690
Общество с ограниченной ответственностью ДИНТРАНС С УЧАСТИЕМ ИНОСТРАННЫХ ИНВЕСТИЦИЙ,51797075,3908019731,1023901865360
Общество с ограниченной ответственностью НОВАЯ ГАЗЕТА С,51862134,6318117548,1026301527009
Общество с ограниченной ответственностью С-ХОЛОД,52155485,,
Общество с ограниченной ответственностью С.П.,52195198,7826042303,1027810286327
Общество с ограниченной ответственностью С.К.С.-ПРОМ,52444901,7705346018,1027700321505
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ С.К.С.21,52546317,7705322828,1067758129944
Общество с ограниченной ответственностью С.К.РАЙТ,52663595,,
Общество с ограниченной ответственностью ЛАТТИС С,52746461,7713249096,1137746333780
Общество с ограниченной ответственностью ФОРМАН-С,52761441,,
Общество с ограниченной ответственностью ВЕКОС-С,52779783,,
Общество с ограниченной ответственностью СТРАХОВОЕ ОБЩЕСТВО СОЦСТРАХГАРАНТ,52788316,7702289428,1027739810670
Общество с ограниченной ответственностью ТУРМАЛИН-С,52814462,7713261791,5167746003805
Общество с ограниченной ответственностью СИБЭНЕРГОСТРОЙ-С,52857603,5407210219,1025403196928
Общество с ограниченной ответственностью ГОРОДСКОЕ СТРАХОВОЕ ОБЩЕСТВО,52939005,7608008782,1027601050366
Непубличное акционерное общество ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ГАЗТРУБИНВЕСТ,53143544,3662057011,1127847548223
Общество с ограниченной ответственностью РТС СЕВЕРО-ЗАПАД,53211056,7811083561,1037825007505
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ НАУЧНО - ПРОИЗВОДСТВЕННОЕ ОБЬЕДИНЕНИЕ СИБПРОМ,53361844,3817020384,1093817001123
Общество с ограниченной ответственностью ФИЗТЕХ-С,53818545,7742000071,1027700521606
Общество с ограниченной ответственностью Р-Н-С,54192645,7813557626,1137847097266
Общество с ограниченной ответственностью ОЛИП-С,54260619,7802154569,1037804013280
Общество с ограниченной ответственностью ХЦ-С-ПЕТЕРБУРГ,54356791,7825133678,1027809213651
Закрытое акционерное общество НАУЧНО-ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ ПЕРЕДОВОЙ МОЛОДЕЖИ И СТУДЕНЧЕСТВА АЛЬМА-МАТЭР,54481645,1831074814,1021801161766
Общество с ограниченной ответственностью АДРИЯ С,54816502,7706217181,1027700211483
Общество с ограниченной ответственностью АГАСИ С.,54878986,7708158485,1027700575649
Общество с ограниченной ответственностью СТРАХОВАЯ КОМПАНИЯ ЕВРОПОЛИС,54928721,7715251358,1027700550514
Общество с ограниченной ответственностью С-МОНТАЖГАРАНТ,54951341,,
Общество с ограниченной ответственностью ПРИМСТРОЙ-С,54953334,,
Общество с ограниченной ответственностью СЕРВИССТРОЙУСЛУГИ-С,54965900,,
Общество с ограниченной ответственностью С.К. ГАВАНЬ,54978185,7719209910,1037719029281
Публичное акционерное общество ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО СТРОЙЖЕЛТРАНССЕРВИС,55243600,7707289485,1027739120640
Общество с ограниченной ответственностью С.В.К.-КОЛОР,55275712,7715264276,1037739448295
Общество с ограниченной ответственностью ОХРАННОЕ ПРЕДПРИЯТИЕ ВЗЛЕТ-С,56203695,7826076486,1027810279034
Общество с ограниченной ответственностью ЮНИОН-С,56264515,7826086727,1027810294148
Общество с ограниченной ответственностью ВАРИАНТ-С,56334990,6902032650,1036900008001
Общество с ограниченной ответственностью С-АУДИТ,56487178,,
Общество с ограниченной ответственностью СТРАХОВОЕ ОБЩЕСТВО ИМПЭКС ГЭРЭНТИ,56556136,7707291639,1027739062867
Общество с ограниченной ответственностью О.С.С. СЕРВИС,56566021,7702315100,1037702022280
Общество с ограниченной ответственностью РУССКОЕ ГАСТРОНОМИЧЕСКОЕ ОБЩЕСТВО,56642940,,
Общество с ограниченной ответственностью СТРАХОВОЕ ОБЩЕСТВО ГЛОССА,56725175,7743032894,1037739282074
Общество с ограниченной ответственностью УНИВЕРСАЛЬНОЕ ПЕРЕСТРАХОВОЧНОЕ ОБЩЕСТВО,56733950,7714220004,1037739020110
Общество с ограниченной ответственностью ИНРОСТ-С,56936699,4719022018,1054700288037
Общество с ограниченной ответственностью ЭКОЦЕНТР С,57232960,1655044709,1021602846308
Общество с ограниченной ответственностью ТВЕРСКОЕ ПЕРЕСТРАХОВОЧНОЕ ОБЩЕСТВО,57306144,6904042220,1026900561555
Общество с ограниченной ответственностью ЕВРОСТРОЙ-С,57415927,8602147862,1028600615592
Общество с ограниченной ответственностью ЭККО - С,57464340,4632022006,1034637010220
Общество с ограниченной ответственностью СТРАХОВОЕ ОБЩЕСТВО ЮНИОН,58030342,7728250062,1027739515308
Общество с ограниченной ответственностью СТРАХОВОЕ ОБЩЕСТВО ФЕНИКС,58062253,7732117024,1027739496971
Общество с ограниченной ответственностью С.Д.С.,58349032,7817040606,1027808757019
Общество с ограниченной ответственностью СТРАХОВОЕ ОБЩЕСТВО ЭСТА,58456265,7744002035,1027739058203
Общество с ограниченной ответственностью ДЮРАН-С,58461935,,
Общество с ограниченной ответственностью ОБЪЕДИНЕННОЕ СТРАХОВОЕ ОБЩЕСТВО,58494314,,
Общество с ограниченной ответственностью ОБЩЕСТВО СТРАХОВАНИЯ ЖИЗНИ СТАНДАРТ-РЕЗЕРВ,58554200,7744002290,1027739642809
Общество с ограниченной ответственностью ВОСТОЧНОЕ ИНВЕСТИЦИОННОЕ ОБЩЕСТВО,58577520,7710423677,1027739447504
Общество с ограниченной ответственностью С-ТРАНС,58753158,7720267603,1027720002012
Общество с ограниченной ответственностью ЮРИДИЧЕСКОЕ АГЕНТСТВО АЛТАРА СЕВЕРО-ЗАПАД,58845624,7827007703,1027812401650
Общество с ограниченной ответственностью СТРАХОВОЕ ОБЩЕСТВО ПЕРСПЕКТИВА,58879758,7802195244,1027801576175
Общество с ограниченной ответственностью БЕЗОПАСНОСТЬ-ТЕЛЕКОММУНИКАЦИОННЫЕ СИСТЕМЫ,58905197,7816210630,1027807970002
Общество с ограниченной ответственностью СТРАХОВОЕ ОБЩЕСТВО ДОВЕРИЕ,59136930,7723208229,1027723004495
Общество с ограниченной ответственностью СТРАХОВОЕ ОБЩЕСТВО АТЛАНТИС,59152567,7743063733,1027743007753
Общество с ограниченной ответственностью АЛЬЯНС-С,59324442,6311061367,1026300528396
Общество с ограниченной ответственностью ЧАСТНАЯ ОХРАННАЯ ОРГАНИЗАЦИЯ РУСИЧ-С,59398044,6453067371,1026403039410
Общество с ограниченной ответственностью ПАРТНЕР С,59444258,7806130872,1027804182185
Общество с ограниченной ответственностью ГАЛЕРЕЯ ЦАРСКОЕ СЕЛО,59444749,7820036744,1027809001934
Общество с ограниченной ответственностью ОМЕГА - С,59759068,7714287320,1027714025712
Общество с ограниченной ответственностью КОМПАНИЯ И.С.Т.,59762586,7725212189,1027725016659
Общество с ограниченной ответственностью НЕБАНКОВСКАЯ КРЕДИТНАЯ ОРГАНИЗАЦИЯ РУССКОЕ ФИНАНСОВОЕ ОБЩЕСТВО,59773795,7744002860,1027744004903
Общество с ограниченной ответственностью ИНВЕСТИЦИОННАЯ СТРОИТЕЛЬНАЯ КОМПАНИЯ,70091102,7727257347,1037727041417
Общество с ограниченной ответственностью ОБЩЕСТВО СОВРЕМЕННЫХ АРХИТЕКТОРОВ,70144025,7725236630,1037725040451
Общество с ограниченной ответственностью НИЖЕГОРОДСКИЙ ТОРГОВЫЙ ДОМ С ТЕКСТИЛЬ,70376310,5257063241,1035205008684
Общество с ограниченной ответственностью СТРОЙ - С,70387118,5034016939,1035007008233
Общество с ограниченной ответственностью ДИГИДОН & СЕЙЛС & МАРКЕТИНГ,70568529,4501107640,1044500005120
Общество с ограниченной ответственностью МЕРКУРИЙ - С,70616978,4205056812,1034205067324
Общество с ограниченной ответственностью ОХРАННОЕ ПРЕДПРИЯТИЕ СОСНОВЫЙ БОР СЕКЪЮРИТИ,70640824,4714016638,1044701759981
Общество с ограниченной ответственностью АПЕКСИНВЕСТСТРОЙ,70814282,7425008746,1037401425819
Общество с ограниченной ответственностью ЭКОСЕРВИС-С,70876691,1609008150,1031639803073
Общество с ограниченной ответственностью САНТА С,70878856,1655075680,1031621019044
Общество с ограниченной ответственностью ЧАСТНОЕ ОХРАННОЕ ПРЕДПРИЯТИЕ ПЛАНЕТА-С,70910347,6312052358,1036300126136
Общество с ограниченной ответственностью МИАЛ - С,71040307,5612038271,1035608456509
Общество с ограниченной ответственностью ПРЕМЬЕР`С МЕДИА,71097374,1101040178,1041100403849
Общество с ограниченной ответственностью С.ОЛСЕН-КАЛИНИНГРАД,71136298,3914015076,1043911501842
Общество с ограниченной ответственностью МЕДИО-СНАБСТРОЙ-СОФТ,71165940,5261039386,1035205647630
Общество с ограниченной ответственностью БЛОК-С,71358142,7707508458,1037789051410
Общество с ограниченной ответственностью ПАРУС-С,71372797,7816230227,1037835077851
Общество с ограниченной ответственностью ПОЗИТРОН СЕВЕРО-ЗАПАД,71445183,7813197035,1047820001756
Общество с ограниченной ответственностью ЗАВОД СУХИХ СТРОИТЕЛЬНЫХ СМЕСЕЙ,71744193,1327157763,1041318004254
Общество с ограниченной ответственностью ТРАНСТУР-С,72227784,6315570510,1046300448248
Общество с ограниченной ответственностью КВАНТ -С,72425644,7843001000,1047847001070
Общество с ограниченной ответственностью АРКТУР-С,72728888,7706526704,1047796148278
Общество с ограниченной ответственностью ЕВРОТРАНС-С,72865220,6729029190,1046758326350
Общество с ограниченной ответственностью ЧАСТНОЕ ОХРАННОЕ ПРЕДПРИЯТИЕ БАСТИОН-С,72992935,7725509976,1047796328304
Общество с ограниченной ответственностью ТРАНСПОРТНАЯ КОМПАНИЯ СИБИРСКОЕ ОБЩЕСТВО,73130745,5407266412,1045403204736
Общество с ограниченной ответственностью САТУРН-С,73158140,8901015423,1048900002381
Общество с ограниченной ответственностью АЛЬФА-С,73158157,8901015430,1048900002447
Общество с ограниченной ответственностью СИРИУС-С,73803014,7705605946,1047796479367
Общество с ограниченной ответственностью МАРТОН-С,74076993,7722521245,1047796559140
Общество с ограниченной ответственностью С-ИВЕНТ,74515228,7708540831,1047796793043
Общество с ограниченной ответственностью С-КОРП,74618750,7707526922,1047796677873
Общество с ограниченной ответственностью МИКРОН-С,74758681,7224029087,1057200571295
Общество с ограниченной ответственностью ИСТА-С,74778577,7804305904,1047855115164
Общество с ограниченной ответственностью ЦЕНТР НАУЧНО-ТЕХНИЧЕСКИХ ЭКСПЕРТИЗ-С,74926629,3446018040,1053460010010
Общество с ограниченной ответственностью БАСТИОН-С,74954092,5405287015,1055405004423
Общество с ограниченной ответственностью ТЕРМОСТРОЙКОМПЛЕКС,75026833,6670070205,1046603547407
Общество с ограниченной ответственностью АВАНТАЖ-С,75171446,6316097381,1056316006548
Общество с ограниченной ответственностью САМАРАИНТУР-С,75173770,6325035470,1056325000280
Общество с ограниченной ответственностью С-ЦЕНТР,75210979,5044045696,1045008860533
Общество с ограниченной ответственностью С-ЛОГИСТИКС,75374474,7713544486,1047797045515
Общество с ограниченной ответственностью МОТО АРТ ДИЗАЙН СТУДИО,75385472,7706561297,1047796960980
Общество с ограниченной ответственностью ВИКОР-С,75417686,6730056550,1056758334160
Общество с ограниченной ответственностью СПОРТИВНО-ОЗДОРОВИТЕЛЬНЫЙ ЦЕНТР АТЛАНТ,75481939,4025082179,1054002515445
Общество с ограниченной ответственностью РЕСУРС С,75834823,0268037195,1050203428736
Общество с ограниченной ответственностью ФИРМА БИК - С,75940979,1515900798,1051500404570
Общество с ограниченной ответственностью ЖЕЛДОРБРОКЕР-С,75954119,6451407311,1056405100300
Общество с ограниченной ответственностью ДВАЭС,76485112,7702561232,1057746726795
Общество с ограниченной ответственностью ДЖИ.ЭР.С. СКАНДИК,76609933,7743554918,1057746544195
Общество с ограниченной ответственностью СОЮЗ-С,76640676,7017114383,1057000126150
Общество с ограниченной ответственностью ЭНЕРГО С,76658699,7017128386,1057002631400
Общество с ограниченной ответственностью АВТО ЛАЙН-С,76795098,6313132990,1056313009246
Публичное акционерное общество ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО МУРМАНСКИЕ МУЛЬТИСЕРВИСНЫЕ СЕТИ,76984401,5190145145,1065190005550
Общество с ограниченной ответственностью МЕЛИТА-С,77293484,7716524618,1057746714409
Общество с ограниченной ответственностью ДЖИ.ЭР.С - СТРОЙ,77353631,7743560358,1057747114743
Общество с ограниченной ответственностью ЭЛИТ СЕКЬЮРИТИ ИНЖИНИРИНГ,77508039,7725705480,1107746829508
Общество с ограниченной ответственностью МАРИКА - С,77530300,7727547511,1057747445700
Общество с ограниченной ответственностью КОМПАНИЯ МИАЛ-С,77536171,7717536126,1057747482253
Общество с ограниченной ответственностью АРБЕН - С,77660439,7802327444,1057811357230
Общество с ограниченной ответственностью Т.С.В-СТРОЙ,77759741,7817304111,1057812630457
Общество с ограниченной ответственностью АРТЕЗИАНСКИЙ ИСТОЧНИК - С,77893008,1101123145,1051100554230
Общество с ограниченной ответственностью СЕКТОР-С,78266513,6316102507,1056316048700
Общество с ограниченной ответственностью СТИМУЛ-С,78570744,5651004935,1055601018450
Общество с ограниченной ответственностью АГРОСОЮЗ-С,78728274,0817001058,1120817000260
Общество с ограниченной ответственностью РЕНЕССАНС ТЕНЕРИФ СТЕЙТ,78879329,5904134230,1055901790493
Общество с ограниченной ответственностью СТРАХОВОЕ АГЕНТСТВО БЕЛАЯ БАШНЯ -ЛЫСЬВА,78883029,5918018071,1055905951430
Общество с ограниченной ответственностью ДЖЕЙ ДЖИ С КАПИТАЛ,79410439,7709647538,1057749303457
Общество с ограниченной ответственностью ТЕПЛОПРОГРЕСС-С,79508233,7722564834,1057749528121
Общество с ограниченной ответственностью СВЕТОСЕРВИС-С,79510632,7715586298,1057749462473
Общество с ограниченной ответственностью С.М.К. - ГРУПП,79514481,7728569204,1057749639530
Общество с ограниченной ответственностью РУСЬГАЗНЕФТЬ-С,79539015,8904047060,1058900654119
Общество с ограниченной ответственностью ПАРТНЕР-С,79670324,5254032326,1055225041410
Общество с ограниченной ответственностью С ПЛЮС С,79699121,7843302745,1057813082491
Общество с ограниченной ответственностью АЙ-ТИ СЕРВИС,79720660,7810048155,1057813302425
Общество с ограниченной ответственностью С. К. М. К. С.,79827056,7811340530,1067847654412
Общество с ограниченной ответственностью С-ПРИНТ,93001771,6450610840,1056415016844
Общество с ограниченной ответственностью ИНВЕСТИЦИОННО-СТРОИТЕЛЬНАЯ КОМПАНИЯ СОЮЗ-С,93032719,6453086889,1066453094410
Общество с ограниченной ответственностью ИМПЕРАТОРСКОЕ ОБЩЕСТВО,93426217,7720543067,1057749753621
Общество с ограниченной ответственностью ВЕЛЕС-С,93649549,5027114195,1065027006208
Общество с ограниченной ответственностью СОЮЗТРАНС-МЕГА,93696721,5038050810,1065038029891
Общество с ограниченной ответственностью ФРОГ ИНВЕСТ-С,93917808,8602010787,1068602075024
Общество с ограниченной ответственностью ГАРАНТ-С,93951418,6731055711,1066731104175
Общество с ограниченной ответственностью И.С.Т.,93970010,5902198478,1065902045791
Общество с ограниченной ответственностью ТЭВИ`С,94100328,7736536185,1067746359449
Общество с ограниченной ответственностью С-ПРОЕКТ,94427696,7731539312,1067746347680
Общество с ограниченной ответственностью УЗЕЛ-С,94467313,7735518313,1067746396849
Общество с ограниченной ответственностью СТРОЙМОНОЛИТ-С,94680490,7811349780,5067847143931
Общество с ограниченной ответственностью С-ИНВЕСТ,95192226,7704595974,1067746512350
Общество с ограниченной ответственностью СПЕЦМОНТАЖ-С,95203444,7707585237,1067746523734
Общество с ограниченной ответственностью ТД ТЕКСТИЛЬ С-М,95573342,7722578347,1067746644371
Общество с ограниченной ответственностью ПРИОРИТЕТ С,95668433,5609171717,1065609012204
Общество с ограниченной ответственностью АГРО-С,96050913,6216098536,1066217003511
Общество с ограниченной ответственностью ФРАКТАЛ МЮЗИК СИСТЕМ,96504768,7737513222,1067746856451
Общество с ограниченной ответственностью ДЕСНЭЛ С.К.В.,96508499,7708606360,1067746859510
Общество с ограниченной ответственностью АРГО-С,00484647,,
Общество с ограниченной ответственностью ТРИАДА-С,01379970,0268030577,1020202080491
Общество с ограниченной ответственностью БЕСТ- С,04740403,3812071032,1023801762050
Общество с ограниченной ответственностью АРТДИЗАЙН-С,05744610,,
Общество с ограниченной ответственностью ОБЩЕСТВО С ОГРАНИЧЕННОЦ ОТВЕТСТВЕННОСТЬЮ ЦИТРОН,05817243,4629015023,1124632011305
Общество с ограниченной ответственностью ВОЛГОГРАДСКАЯ ПРОМЫШЛЕННО-КОММЕРЧЕСКАЯ КОМПАНИЯ (ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ) КОНТИНЕНТ,10500761,3445003900,1113460000587
Общество с ограниченной ответственностью ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ЭЛЕКТРОД,10724733,3729006091,1133702014973
Общество с ограниченной ответственностью ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ПКФ АПИА,10725276,3730003031,1113702023049
Общество с ограниченной ответственностью ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕНННОСТЬЮ ГРЭМ,10725394,3729009818,1143702000771
Общество с ограниченной ответственностью ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ АККОРД,10730455,3731006412,1123702018780
Общество с ограниченной ответственностью ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СИРИУС,10748024,3808015652,1113850039082
Общество с ограниченной ответственностью ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ИНВАР,10764615,3906016686,1123926079727
Общество с ограниченной ответственностью ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СУКЦЕСС,10768564,3907013092,1123926064217
Общество с ограниченной ответственностью ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕСТВЕННОСТЬ ДЕЛИ,10777669,3904021560,1063905084594
Общество с ограниченной ответственностью РЕМОНТНО-СТРОИТЕЛЬНОЕ ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ РЕМСТРОЙ,10788756,6904005324,1026940510640
Общество с ограниченной ответственностью ОБЩЕСТВО С ОГРАННИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ФУНДАМЕНТ,10886298,4207009208,1064205126567
Общество с ограниченной ответственностью ГАРАНТ-С,10909674,4202021681,1024200539967
Общество с ограниченной или дополнительной ответственностью ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СТЕКЛЯННЫЙ,11072113,4630016751,1134632007366
Общество с ограниченной ответственностью ФИРМА ЦЕНЗ НА ПРАВАХ ТОВАРИЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ,11074792,4629006075,1124632001020
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ КАФЕ ОГОНЕК,11077263,4632001165,1134632007730
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ТРИО ПЛЮС,11103269,4629031530,1134632014417
Общество с ограниченной ответственностью ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ФИРМА АВТОМАТИЗАЦИЯ И ВНЕДРЕНИЕ,11707501,5001002000,1135001000914
Общество с ограниченной ответственностью ОБЩЕСТВО С ДОПОЛНИТЕЛЬНОЙ ОТВЕТСТВЕННОСТЬЮ ОЛЬВИЯ,11834493,5408121579,1135476054856
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ АВГУСТ,12168868,6165000740,1126165010290
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ТОРНА,12975267,1660000778,1111690049371
Общество с ограниченной ответственностью ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ЗЕНИТ ПРОИЗВОДСТВЕННОЕ КОММЕРЧЕСКОЕ ПРЕДПРИЯТИЕ,12979940,1654002128,1121690039063
Общество с ограниченной ответственностью ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОЙ ОТВЕТСТВЕННОСТЬЮ ЦЗЛ,12997984,1660004388,1131690004192
Общество с ограниченной ответственностью ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ БОЛАН,13010589,1658002182,1111690075199
Общество с ограниченной ответственностью ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ПРОИЗВОДСТВЕННО-КОММЕРЧЕСКАЯ ФИРМА ПРИКАМНЕФТЬ,13023540,1650041461,1121650000735
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ,13214205,4218002797,1124253004061
Общество с ограниченной ответственностью ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ВИКА,13215854,3729006052,1123702034400
Непубличное акционерное общество ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ КОМПЛЕКС,13237548,5002000742,1035007902280
Общество с ограниченной ответственностью ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ НОРДСАТКОМ,13245418,5016000654,1125038016718
Общество с ограниченной ответственностью РИФЕЙ-С,13300318,5024055287,1025002874742
Общество с ограниченной ответственностью ТОРГ С,13307964,5032083954,1025004069860
Общество с ограниченной ответственностью ИЗОМЕР С,13312634,5029067198,1025003531189
Общество с ограниченной ответственностью ЕВРОГРУПП С,13864363,7814139558,1037832027892
Общество с ограниченной ответственностью РЭТ-С,14320949,0814154257,1030800772914
Общество с ограниченной ответственностью ГАРАЖ- С,14507116,6658162467,1036602652371
Общество с ограниченной ответственностью ЛИКА С,14846568,7453099777,1037403876509
Общество с ограниченной ответственностью СОЮЗСЕРВИС,14864371,8609017703,1038602451755
Общество с ограниченной ответственностью МОНТАЖ-С,14864968,8603109884,1038601750351
Общество с ограниченной ответственностью ТИКО-С,15385738,7204059051,1037200624328
Общество с ограниченной ответственностью ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ФИТОН,16357945,4207017713,1114205016936
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ НИКО,16359252,4210001368,1124205007410
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ С.К.Ф.ПАРИТЕТ,16360918,4209023889,1094205001197
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИК,16362828,4202003837,1074202000290
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СИМУР,16372525,4208004611,1114205027200
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ БОН ВОЯЖ,16380134,4207052612,1114205015561
Общество с ограниченной ответственностью ПРОИЗВОДСТВЕННО-КОММЕРЧЕСКАЯ ФИРМА САЛМЕД В ВИДЕ ТОВАРИЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ,16491520,3810006302,1113850031745
Общество с ограниченной ответственностью ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ РЕВИВАЛ,16643852,3903000303,1123926057518
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ АЛАВЕРДИ,16702508,4209012397,1114205018421
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ АСА,16703407,4209012534,1094205000911
Общество с ограниченной ответственностью ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕСТВЕННОСТЬЮ ЛЕКСУС,16704460,4207024090,1114205002438
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ У МИХАЙЛОВНЫ,16704625,4206013480,1114205008500
Общество с ограниченной ответственностью ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЮ АЛАНИЯ,16704654,4206013530,1114205014000
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ОПАЛА,16708830,4207053126,1064205111519
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ КАНТ,16721026,4207003460,1114205024185
Общество с ограниченной ответственностью ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ТВК,16965455,5025002792,1125047013189
Общество с ограниченной ответственностью ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ДАГМА,18068671,5041002454,1135012002982
Общество с ограниченной ответственностью ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ОМЕГА,18087869,5025001809,1115047015115
Общество с ограниченной ответственностью ОЮЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ПРЕДПРИЯТИЕ ВСЕРОССИЙСКОГО ОБЩЕСТВА ИНВАЛИДОВ ВЕРА И НАДЕЖДА,18170102,5018016628,1035003358873
Общество с ограниченной ответственностью С-ОЙЛ,18255982,,
Общество с ограниченной ответственностью С И С Т,18287350,7729361110,
Общество с ограниченной ответственностью МАНАР С,18782428,7701207422,1037700210569
Общество с ограниченной ответственностью БРИЗ-С,21136459,,
Общество с ограниченной ответственностью КОРС-С,21143749,6316073239,1026301179486
Общество с ограниченной ответственностью ГРАНТ-С,22429844,3448025490,1023404367953
Общество с ограниченной ответственностью ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ЭСКУЛАП,22684565,0278016892,1110280050341
Общество с ограниченной ответственностью ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ИСТАРИ ЛТД,22854493,3809003868,1113850038829
Общество с ограниченной ответственностью ДОБРОВОЛЬНОЕ ОБЩЕСТВО КОРАБЕЛОВ,22916283,4102001025,1064141032218
Общество с ограниченной ответственностью ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ЗАПАДНАЯ СИБИРЬ,22923320,4207008074,1114205036439
