Полное наименование,ОКПО,ИНН,ОГРН
Общество с ограниченной ответственностью ПРЕДПРИЯТИЕ ИГОЛ` С,39767858,5018042498,1035003359984
Общество с ограниченной ответственностью КАПИТАЛ-С,39801041,5045017645,1025005926021
Общество с ограниченной ответственностью АРХИТЕКТУРА И ОБЩЕСТВО,40144973,7720123792,1027739652874
Общество с ограниченной ответственностью ПРОФИЛЬ-С,40184889,7722021958,1027739451893
Общество с ограниченной ответственностью ЧАСТНОЕ ОХРАННОЕ ПРЕДПРИЯТИЕ КЛУБ-С,40263784,7703037511,1027700441306
Общество с ограниченной ответственностью ЧАСТНОЕ ОХРАННОЕ ПРЕДПРИЯТИЕ МАСТЕР-С,40314903,7709126729,1027739490921
Общество с ограниченной ответственностью ИНКОТЕКС-С,40408372,7710160756,1027739680198
Общество с ограниченной ответственностью С.М.С.,40622496,7706022714,1037739584321
Общество с ограниченной ответственностью С.В.И.,40722921,6905038273,1026900580035
Общество с ограниченной ответственностью АБСОЛЮТ - С,40727143,6905041188,1026900542855
Общество с ограниченной ответственностью САВОЙ,40832182,2209015274,1022200808409
Общество с ограниченной ответственностью ВЫСОТА - С,40875263,3728023552,1033700053265
Общество с ограниченной ответственностью ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕСТВЕННОСТЬЮ БОРСКИЕ МИНЕРАЛЬНЫЕ ВОДЫ,40984868,6366004914,1026303398329
Общество с ограниченной ответственностью АРТЕЛЬ СТАРАТЕЛЕЙ ГОРИЗОНТ,41012802,0407004880,1020400608161
Общество с ограниченной ответственностью УРАЛ-С,41056930,2465039935,1022402470419
Общество с ограниченной ответственностью ТОРГОВОЕ ПРОИЗВОДСТВЕННОЕ ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ФОРТУНА,41069245,2405003300,1022401157646
Общество с ограниченной ответственностью ОАЗИС-С,41218030,4501043891,1024500517777
Общество с ограниченной ответственностью РОССИ-С,41488781,3435055650,1023402015823
